Class,Alcohol,Malic acid, Ash, Alcalinity of ash,Magnesium,Total phenols,Flavanoids,Nonflavanoid phenols,Proanthocyanins,Color intensity,Hue,OD280/OD315 of diluted wines,Proline,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1,13.88,1.89,2.59,15,101,3.25,3.56,.17,1.7,5.43,.88,3.56,1095,7,0.31,0.26,7.4,69,28,160,0.9954,3.13,0.46,9.8,6
1,13.24,3.98,2.29,17.5,103,2.64,2.63,.32,1.66,4.36,.82,3,680,6.6,0.24,0.27,1.4,57,33,152,0.9934,3.22,0.56,9.5,6
1,13.05,1.77,2.1,17,107,3,3,.28,2.03,5.04,.88,3.35,885,6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,6
1,14.21,4.04,2.44,18.9,111,2.85,2.65,.3,1.25,5.24,.87,3.33,1080,7.4,0.18,0.31,1.4,58,38,167,0.9931,3.16,0.53,10,7
1,14.38,3.59,2.28,16,102,3.25,3.17,.27,2.19,4.9,1.04,3.44,1065,6.2,0.45,0.26,4.4,63,63,206,994,3.27,0.52,9.8,4
1,13.9,1.68,2.12,16,101,3.1,3.39,.21,2.14,6.1,.91,3.33,985,6.2,0.46,0.25,4.4,66,62,207,0.9939,3.25,0.52,9.8,5
1,14.1,2.02,2.4,18.8,103,2.75,2.92,.32,2.38,6.2,1.07,2.75,1060,7,0.31,0.26,7.4,69,28,160,0.9954,3.13,0.46,9.8,6
1,13.94,1.73,2.27,17.4,108,2.88,3.54,.32,2.08,8.90,1.12,3.1,1260,6.9,0.19,0.35,5,67,32,150,995,3.36,0.48,9.8,5
1,13.05,1.73,2.04,12.4,92,2.72,3.27,.17,2.91,7.2,1.12,2.91,1150,7.2,0.19,0.31,1.6,62,31,173,0.9917,3.35,0.44,11.7,6
1,13.83,1.65,2.6,17.2,94,2.45,2.99,.22,2.29,5.6,1.24,3.37,1265,6.6,0.25,0.29,1.1,68,39,124,0.9914,3.34,0.58,11,7
1,13.82,1.75,2.42,14,111,3.88,3.74,.32,1.87,7.05,1.01,3.26,1190,6.2,0.16,0.33,1.1,57,21,82,991,3.32,0.46,10.9,7
1,13.77,1.9,2.68,17.1,115,3,2.79,.39,1.68,6.3,1.13,2.93,1375,6.4,0.18,0.35,1,45,39,108,0.9911,3.31,0.35,10.9,6
1,13.74,1.67,2.25,16.4,118,2.6,2.9,.21,1.62,5.85,.92,3.2,1060,6.8,0.2,0.59,0.9,147,38,132,993,3.05,0.38,9.1,6
1,13.56,1.73,2.46,20.5,116,2.96,2.78,.2,2.45,6.25,.98,3.03,1120,6.9,0.25,0.35,1.3,39,29,191,0.9908,3.13,0.52,11,6
1,14.22,1.7,2.3,16.3,118,3.2,3,.26,2.03,6.38,.94,3.31,970,7.2,0.21,0.34,11.9,43,37,213,0.9962,3.09,0.5,9.6,6
1,13.29,1.97,2.68,16.8,102,3,3.23,.31,1.66,6,1.07,2.84,1270,6,0.19,0.26,12.4,48,50,147,0.9972,3.3,0.36,8.9,6
1,13.72,1.43,2.5,16.7,108,3.4,3.67,.19,2.04,6.8,.89,2.87,1285,6.6,0.38,0.15,4.6,44,25,78,0.9931,3.11,0.38,10.2,6
2,12.37,.94,1.36,10.6,88,1.98,.57,.28,.42,1.95,1.05,1.82,520,7.4,0.2,0.36,1.2,38,44,111,0.9926,3.36,0.34,9.9,6
2,12.33,1.1,2.28,16,101,2.05,1.09,.63,.41,3.27,1.25,1.67,680,6.8,0.22,0.24,4.9,92,30,123,0.9951,3.03,0.46,8.6,6
2,12.64,1.36,2.02,16.8,100,2.02,1.41,.53,.62,5.75,.98,1.59,450,6,0.19,0.26,12.4,48,50,147,0.9972,3.3,0.36,8.9,6
2,13.67,1.25,1.92,18,94,2.1,1.79,.32,.73,3.8,1.23,2.46,630,7,0.47,0.07,1.1,35,17,151,991,3.02,0.34,10.5,5
2,12.37,1.13,2.16,19,87,3.5,3.1,.19,1.87,4.45,1.22,2.87,420,6.6,0.38,0.15,4.6,44,25,78,0.9931,3.11,0.38,10.2,6
2,12.17,1.45,2.53,19,104,1.89,1.75,.45,1.03,2.95,1.45,2.23,355,7.2,0.24,0.27,1.4,38,31,122,0.9927,3.15,0.46,10.3,6
2,12.37,1.21,2.56,18.1,98,2.42,2.65,.37,2.08,4.6,1.19,2.3,678,6.2,0.35,0.03,1.2,64,29,120,0.9934,3.22,0.54,9.1,5
2,13.11,1.01,1.7,15,78,2.98,3.18,.26,2.28,5.3,1.12,3.18,502,6.4,0.26,0.24,6.4,0.04,27,124,0.9903,3.22,0.49,12.6,7
2,12.37,1.17,1.92,19.6,78,2.11,2,.27,1.04,4.68,1.12,3.48,510,6.7,0.25,0.13,1.2,41,81,174,992,3.14,0.42,9.8,5
2,13.34,.94,2.36,17,110,2.53,1.3,.55,.42,3.17,1.02,1.93,750,6.7,0.23,0.31,2.1,46,30,96,0.9926,3.33,0.64,10.7,8
2,12.21,1.19,1.75,16.8,151,1.85,1.28,.14,2.5,2.85,1.28,3.07,718,7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5
2,12.29,1.61,2.21,20.4,103,1.1,1.02,.37,1.46,3.05,.906,1.82,870,6.2,0.27,0.43,7.8,56,48,244,0.9956,3.1,0.51,9,6
2,13.86,1.51,2.67,25,86,2.95,2.86,.21,1.87,3.38,1.36,3.16,410,6.8,0.3,0.23,4.6,61,50.5,238.5,0.9958,3.32,0.6,9.5,5
2,13.49,1.66,2.24,24,87,1.88,1.84,.27,1.03,3.74,.98,2.78,472,6,0.27,0.28,4.8,63,31,201,0.9964,3.69,0.71,10,5
2,12.99,1.67,2.6,30,139,3.3,2.89,.21,1.96,3.35,1.31,3.5,985,8.6,0.23,0.46,1,54,9,72,0.9941,2.95,0.49,9.1,6
2,11.96,1.09,2.3,21,101,3.38,2.14,.13,1.65,3.21,.99,3.13,886,6.7,0.23,0.31,2.1,46,30,96,0.9926,3.33,0.64,10.7,8
2,11.66,1.88,1.92,16,97,1.61,1.57,.34,1.15,3.8,1.23,2.14,428,7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5
2,13.03,.9,1.71,16,86,1.95,2.03,.24,1.46,4.6,1.19,2.48,392,7.1,0.18,0.36,1.4,43,31,87,0.9898,3.26,0.37,12.7,7
2,11.84,2.89,2.23,18,112,1.72,1.32,.43,.95,2.65,.96,2.52,500,7,0.32,0.34,1.3,42,20,69,0.9912,3.31,0.65,12,7
2,12.33,.99,1.95,14.8,136,1.9,1.85,.35,2.76,3.4,1.06,2.31,750,7.4,0.18,0.3,8.8,64,26,103,0.9961,2.94,0.56,9.3,5
2,12.7,3.87,2.4,23,101,2.83,2.55,.43,1.95,2.57,1.19,3.13,463,6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9,5
2,12,.92,2,19,86,2.42,2.26,.3,1.43,2.5,1.38,3.12,278,6.8,0.22,0.31,1.4,53,34,114,0.9929,3.39,0.77,10.6,6
2,12.72,1.81,2.2,18.8,86,2.2,2.53,.26,1.77,3.9,1.16,3.14,714,7.1,0.2,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2,6
2,12.08,1.13,2.51,24,78,2,1.58,.4,1.4,2.2,1.31,2.72,630,7.1,0.34,0.2,6.1,63,47,164,0.9946,3.17,0.42,10,5
2,13.05,3.86,2.32,22.5,85,1.65,1.59,.61,1.62,4.8,.84,2.01,515,7.3,0.22,0.3,8.2,47,42,207,0.9966,3.33,0.46,9.5,6
2,11.84,.89,2.58,18,94,2.2,2.21,.22,2.35,3.05,.79,3.08,520,7.1,0.43,0.61,11.8,45,54,155,0.9974,3.11,0.45,8.7,5
2,12.67,.98,2.24,18,99,2.2,1.94,.3,1.46,2.62,1.23,3.16,450,7.1,0.44,0.62,11.8,44,52,152,0.9975,3.12,0.46,8.7,6
2,12.16,1.61,2.31,22.8,90,1.78,1.69,.43,1.56,2.45,1.33,2.26,495,7.2,0.39,0.63,11,44,55,156,0.9974,3.09,0.44,8.7,6
2,11.65,1.67,2.62,26,88,1.92,1.61,.4,1.34,2.6,1.36,3.21,562,6.8,0.25,0.31,13.3,0.05,69,202,0.9972,3.22,0.48,9.7,6
2,11.64,2.06,2.46,21.6,84,1.95,1.69,.48,1.35,2.8,1,2.75,680,7.1,0.43,0.61,11.8,45,54,155,0.9974,3.11,0.45,8.7,5
2,12.08,1.33,2.3,23.6,70,2.2,1.59,.42,1.38,1.74,1.07,3.21,625,7.1,0.44,0.62,11.8,44,52,152,0.9975,3.12,0.46,8.7,6
2,12.08,1.83,2.32,18.5,81,1.6,1.5,.52,1.64,2.4,1.08,2.27,480,7.2,0.39,0.63,11,44,55,156,0.9974,3.09,0.44,8.7,6
2,12,1.51,2.42,22,86,1.45,1.25,.5,1.63,3.6,1.05,2.65,450,6.1,0.27,0.43,7.5,49,65,243,0.9957,3.12,0.47,9,5
2,12.69,1.53,2.26,20.7,80,1.38,1.46,.58,1.62,3.05,.96,2.06,495,6.9,0.24,0.33,1.7,35,47,136,0.99,3.26,0.4,12.6,7
2,12.29,2.83,2.22,18,88,2.45,2.25,.25,1.99,2.15,1.15,3.3,290,6.9,0.21,0.33,1.8,34,48,136,0.9899,3.25,0.41,12.6,7
2,11.62,1.99,2.28,18,98,3.02,2.26,.17,1.35,3.25,1.16,2.96,345,7.5,0.17,0.32,1.7,0.04,51,148,0.9916,3.21,0.44,11.5,7
2,12.47,1.52,2.2,19,162,2.5,2.27,.32,3.28,2.6,1.16,2.63,937,7.1,0.26,0.29,12.4,44,62,240,0.9969,3.04,0.42,9.2,6
2,11.81,2.12,2.74,21.5,134,1.6,.99,.14,1.56,2.5,.95,2.26,625,6,0.34,0.66,15.9,46,26,164,0.9979,3.14,0.5,8.8,6
2,12.29,1.41,1.98,16,85,2.55,2.5,.29,1.77,2.9,1.23,2.74,428,8.6,265,0.36,1.2,34,15,80,0.9913,2.95,0.36,11.4,7
2,12.37,1.07,2.1,18.5,88,3.52,3.75,.24,1.95,4.5,1.04,2.77,660,9.8,0.36,0.46,10.5,38,4,83,0.9956,2.89,0.3,10.1,4
2,12.29,3.17,2.21,18,88,2.85,2.99,.45,2.81,2.3,1.42,2.83,406,6,0.34,0.66,15.9,46,26,164,0.9979,3.14,0.5,8.8,6
2,12.08,2.08,1.7,17.5,97,2.23,2.17,.26,1.4,3.3,1.27,2.96,710,7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5
2,12.6,1.34,1.9,18.5,88,1.45,1.36,.29,1.35,2.45,1.04,2.77,562,7.1,0.12,0.32,9.6,54,64,162,0.9962,3.4,0.41,9.4,5
2,12.34,2.45,2.46,21,98,2.56,2.11,.34,1.31,2.8,.8,3.38,438,6,0.21,0.24,12.1,0.05,55,164,997,3.34,0.39,9.4,5
2,11.82,1.72,1.88,19.5,86,2.5,1.64,.37,1.42,2.06,.94,2.44,415,7.5,305,0.4,18.9,59,44,170,1,2.99,0.46,9,5
2,12.51,1.73,1.98,20.5,85,2.2,1.92,.32,1.48,2.94,1.04,3.57,672,7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5
2,12.42,2.55,2.27,22,90,1.68,1.84,.66,1.42,2.7,.86,3.3,315,7.3,0.13,0.32,14.4,51,34,109,0.9974,3.2,0.35,9.2,6
2,12.25,1.73,2.12,19,80,1.65,2.03,.37,1.63,3.4,1,3.17,510,7.1,0.12,0.32,9.6,54,64,162,0.9962,3.4,0.41,9.4,5
2,12.72,1.75,2.28,22.5,84,1.38,1.76,.48,1.63,3.3,.88,2.42,488,7.1,0.23,0.35,16.5,0.04,60,171,999,3.16,0.59,9.1,6
2,12.22,1.29,1.94,19,92,2.36,2.04,.39,2.08,2.7,.86,3.02,312,7.1,0.23,0.35,16.5,0.04,60,171,999,3.16,0.59,9.1,6
2,11.61,1.35,2.7,20,94,2.74,2.92,.29,2.49,2.65,.96,3.26,680,6.9,0.33,0.28,1.3,51,37,187,0.9927,3.27,0.6,10.3,5
2,11.46,3.74,1.82,19.5,107,3.18,2.58,.24,3.58,2.9,.75,2.81,562,6.5,0.17,0.54,8.5,82,64,163,0.9959,2.89,0.39,8.8,6
2,12.52,2.43,2.17,21,88,2.55,2.27,.26,1.22,2,.9,2.78,325,7.2,0.27,0.46,18.75,52,45,255,1,3.04,0.52,8.9,5
2,11.76,2.68,2.92,20,103,1.75,2.03,.6,1.05,3.8,1.23,2.5,607,7.2,0.31,0.5,13.3,56,68,195,0.9982,3.01,0.47,9.2,5
2,11.41,.74,2.5,21,88,2.48,2.01,.42,1.44,3.08,1.1,2.31,434,6.7,0.41,0.34,9.2,49,29,150,0.9968,3.22,0.51,9.1,5
2,12.08,1.39,2.5,22.5,84,2.56,2.29,.43,1.04,2.9,.93,3.19,385,6.7,0.41,0.34,9.2,49,29,150,0.9968,3.22,0.51,9.1,5
2,11.03,1.51,2.2,21.5,85,2.46,2.17,.52,2.01,1.9,1.71,2.87,407,5.5,485,0,1.5,65,8,103,994,3.63,0.4,9.7,4
2,11.82,1.47,1.99,20.8,86,1.98,1.6,.3,1.53,1.95,.95,3.33,495,6,0.31,0.24,3.3,41,25,143,0.9914,3.31,0.44,11.3,6
2,12.42,1.61,2.19,22.5,108,2,2.09,.34,1.61,2.06,1.06,2.96,345,7,0.14,0.4,1.7,35,16,85,0.9911,3.19,0.42,11.8,6
2,12.77,3.43,1.98,16,80,1.63,1.25,.43,.83,3.4,.7,2.12,372,7.2,0.31,0.5,13.3,56,68,195,0.9982,3.01,0.47,9.2,5
2,12,3.43,2,19,87,2,1.64,.37,1.87,1.28,.93,3.05,564,7.3,0.32,0.48,13.3,0.06,57,196,0.9982,3.04,0.5,9.2,5
2,11.45,2.4,2.42,20,96,2.9,2.79,.32,1.83,3.25,.8,3.39,625,5.9,0.36,0.04,5.7,46,21,87,0.9934,3.22,0.51,10.2,5
2,11.56,2.05,3.23,28.5,119,3.18,5.08,.47,1.87,6,.93,3.69,465,7.8,0.24,0.32,12.2,54,42,138,0.9984,3.01,0.54,8.8,5
2,12.42,4.43,2.73,26.5,102,2.2,2.13,.43,1.71,2.08,.92,3.12,365,7.4,0.16,0.31,6.85,59,31,131,0.9952,3.29,0.34,9.7,5
2,13.05,5.8,2.13,21.5,86,2.62,2.65,.3,2.01,2.6,.73,3.1,380,6.9,0.19,0.28,5,58,14,146,0.9952,3.29,0.36,9.1,6
2,11.87,4.31,2.39,21,82,2.86,3.03,.21,2.91,2.8,.75,3.64,380,6.4,0.13,0.47,1.6,92,40,158,0.9928,3.21,0.36,9.8,6
2,12.07,2.16,2.17,21,85,2.6,2.65,.37,1.35,2.76,.86,3.28,378,6.7,0.19,0.36,1.1,26,63,143,0.9912,3.27,0.48,11,6
2,12.43,1.53,2.29,21.5,86,2.74,3.15,.39,1.77,3.94,.69,2.84,352,7.4,0.39,0.23,7,33,29,126,994,3.14,0.42,10.5,5
2,11.79,2.13,2.78,28.5,92,2.13,2.24,.58,1.76,3,.97,2.44,466,6.5,0.24,0.32,7.6,38,48,203,0.9958,3.45,0.54,9.7,7
2,12.37,1.63,2.3,24.5,88,2.22,2.45,.4,1.9,2.12,.89,2.78,342,6.1,0.3,0.56,2.8,44,47,179,0.9924,3.3,0.57,10.9,7
2,12.04,4.3,2.38,22,80,2.1,1.75,.42,1.35,2.6,.79,2.57,580,6.1,0.3,0.56,2.7,46,46,184,0.9924,3.31,0.57,10.9,6
3,12.86,1.35,2.32,18,122,1.51,1.25,.21,.94,4.1,.76,1.29,630,5.7,0.26,0.25,10.4,0.02,7,57,994,3.39,0.37,10.6,5
3,12.88,2.99,2.4,20,104,1.3,1.22,.24,.83,5.4,.74,1.42,530,6.5,0.24,0.32,7.6,38,48,203,0.9958,3.45,0.54,9.7,7
3,12.81,2.31,2.4,24,98,1.15,1.09,.27,.83,5.7,.66,1.36,560,6.5,425,0.4,13.1,38,59,241,0.9979,3.23,0.57,9,5
3,12.7,3.55,2.36,21.5,106,1.7,1.2,.17,.84,5,.78,1.29,600,6.6,0.24,0.27,15.8,35,46,188,0.9982,3.24,0.51,9.2,5
3,12.51,1.24,2.25,17.5,85,2,.58,.6,1.25,5.45,.75,1.51,650,6.8,0.27,0.22,8.1,34,55,203,0.9961,3.19,0.52,8.9,5
3,12.6,2.46,2.2,18.5,94,1.62,.66,.63,.94,7.1,.73,1.58,695,6.7,0.27,0.31,15.7,36,44,179,0.9979,3.26,0.56,9.6,5
3,12.25,4.72,2.54,21,89,1.38,.47,.53,.8,3.85,.75,1.27,720,8.2,0.23,0.4,1.2,27,36,121,992,3.12,0.38,10.7,6
3,12.53,5.51,2.64,25,96,1.79,.6,.63,1.1,5,.82,1.69,515,7.1,0.37,0.67,10.5,45,49,155,0.9975,3.16,0.44,8.7,5
3,13.49,3.59,2.19,19.5,88,1.62,.48,.58,.88,5.7,.81,1.82,580,6.8,0.19,0.36,1.9,35,30,96,0.9917,3.15,0.54,10.8,7
3,12.84,2.96,2.61,24,101,2.32,.6,.53,.81,4.92,.89,2.15,590,8.1,0.28,0.39,1.9,29,18,79,0.9923,3.23,0.52,11.8,6
3,12.93,2.81,2.7,21,96,1.54,.5,.53,.75,4.6,.77,2.31,600,6.3,0.31,0.34,2.2,45,20,77,0.9927,3.3,0.43,10.2,5
3,13.36,2.56,2.35,20,89,1.4,.5,.37,.64,5.6,.7,2.47,780,7.1,0.37,0.67,10.5,45,49,155,0.9975,3.16,0.44,8.7,5
3,13.52,3.17,2.72,23.5,97,1.55,.52,.5,.55,4.35,.89,2.06,520,7.9,0.21,0.4,1.2,39,38,107,992,3.21,0.54,10.8,6
3,13.62,4.95,2.35,20,92,2,.8,.47,1.02,4.4,.91,2.05,550,8.5,0.21,0.41,4.3,36,24,99,0.9947,3.18,0.53,9.7,6
3,12.25,3.88,2.2,18.5,112,1.38,.78,.29,1.14,8.21,.65,2,855,8.1,0.2,0.4,2,37,19,87,0.9921,3.12,0.54,11.2,6
3,13.16,3.57,2.15,21,102,1.5,.55,.43,1.3,4,.6,1.68,830,6.3,255,0.37,1.1,0.04,37,114,0.9905,3,0.39,10.9,6
3,13.88,5.04,2.23,20,80,.98,.34,.4,.68,4.9,.58,1.33,415,5.6,0.16,0.27,1.4,44,53,168,0.9918,3.28,0.37,10.1,6
3,12.87,4.61,2.48,21.5,86,1.7,.65,.47,.86,7.65,.54,1.86,625,6.4,595,0.14,5.2,58,15,97,0.9951,3.38,0.36,9,4
3,13.32,3.24,2.38,21.5,92,1.93,.76,.45,1.25,8.42,.55,1.62,650,6.3,0.34,0.33,4.6,34,19,80,0.9917,3.38,0.58,12,7
3,13.08,3.9,2.36,21.5,113,1.41,1.39,.34,1.14,9.40,.57,1.33,550,6.9,0.25,0.3,4.1,54,23,116,994,2.99,0.38,9.4,6
3,13.5,3.12,2.62,24,123,1.4,1.57,.22,1.25,8.60,.59,1.3,500,7.9,0.22,0.38,8,43,46,152,0.9934,3.12,0.32,11.5,7
3,12.79,2.67,2.48,22,112,1.48,1.36,.24,1.26,10.8,.48,1.47,480,7.6,0.18,0.46,10.2,55,58,135,0.9968,3.14,0.43,9.9,6
3,13.11,1.9,2.75,25.5,116,2.2,1.28,.26,1.56,7.1,.61,1.33,425,6.9,0.25,0.3,4.1,54,23,116,994,2.99,0.38,9.4,6
3,13.23,3.3,2.28,18.5,98,1.8,.83,.61,1.87,10.52,.56,1.51,675,7.2,0.18,0.41,1.2,48,41,97,0.9919,3.14,0.45,10.4,5
3,12.58,1.29,2.1,20,103,1.48,.58,.53,1.4,7.6,.58,1.55,640,8.2,0.23,0.4,7.5,49,12,76,0.9966,3.06,0.84,9.7,6
3,13.17,5.19,2.32,22,93,1.74,.63,.61,1.55,7.9,.6,1.48,725,7.4,0.24,0.42,14,66,48,198,0.9979,2.89,0.42,8.9,6
